region,name,LON,LAT,resevior,four_region
0,基隆市,121.76,25.12,['新山水庫'],0
0,基隆市,121.76,25.13,['新山水庫'],0
0,基隆市,121.76,25.14,['新山水庫'],0
0,基隆市,121.76,25.15,['新山水庫'],0
0,基隆市,121.76,25.16,['新山水庫'],0
0,基隆市,121.77,25.06,['新山水庫'],0
0,基隆市,121.77,25.07,['新山水庫'],0
0,基隆市,121.77,25.08,['新山水庫'],0
0,基隆市,121.77,25.11,['新山水庫'],0
0,基隆市,121.77,25.12,['新山水庫'],0
0,基隆市,121.77,25.13,['新山水庫'],0
0,基隆市,121.77,25.14,['新山水庫'],0
0,基隆市,121.77,25.15,['新山水庫'],0
0,基隆市,121.77,25.16,['新山水庫'],0
0,基隆市,121.78,25.07,['新山水庫'],0
0,基隆市,121.78,25.12,['新山水庫'],0
0,基隆市,121.78,25.13,['新山水庫'],0
0,基隆市,121.78,25.14,['新山水庫'],0
0,基隆市,121.78,25.15,['新山水庫'],0
0,基隆市,121.78,25.16,['新山水庫'],0
0,基隆市,121.78,25.19,['新山水庫'],0
0,基隆市,121.78,25.2,['新山水庫'],0
0,基隆市,121.79,25.11,['新山水庫'],0
0,基隆市,121.79,25.12,['新山水庫'],0
0,基隆市,121.79,25.13,['新山水庫'],0
0,基隆市,121.79,25.14,['新山水庫'],0
0,基隆市,121.79,25.15,['新山水庫'],0
0,基隆市,121.79,25.19,['新山水庫'],0
0,基隆市,121.79,25.2,['新山水庫'],0
0,基隆市,121.8,25.11,['新山水庫'],0
0,基隆市,121.8,25.12,['新山水庫'],0
0,基隆市,121.8,25.13,['新山水庫'],0
0,基隆市,121.8,25.14,['新山水庫'],0
0,基隆市,121.8,25.15,['新山水庫'],0
0,基隆市,121.81,25.13,['新山水庫'],0
0,基隆市,121.81,25.14,['新山水庫'],0
0,基隆市,121.81,25.15,['新山水庫'],0
0,基隆市,122.07,25.63,['新山水庫'],0
0,基隆市,122.08,25.62,['新山水庫'],0
0,基隆市,122.08,25.63,['新山水庫'],0
0,基隆市,122.09,25.63,['新山水庫'],0
0,基隆市,122.1,25.48,['新山水庫'],0
0,基隆市,122.1,25.49,['新山水庫'],0
0,基隆市,122.11,25.48,['新山水庫'],0
0,基隆市,122.11,25.49,['新山水庫'],0
0,新北市/基隆新北,121.47,24.68,['新山水庫'],0
0,新北市/基隆新北,121.47,24.69,['新山水庫'],0
0,新北市/基隆新北,121.47,24.7,['新山水庫'],0
0,新北市/基隆新北,121.47,24.71,['新山水庫'],0
0,新北市/基隆新北,121.47,24.72,['新山水庫'],0
0,新北市/基隆新北,121.47,24.73,['新山水庫'],0
0,新北市/基隆新北,121.47,24.74,['新山水庫'],0
0,新北市/基隆新北,121.47,24.75,['新山水庫'],0
0,新北市/基隆新北,121.47,24.76,['新山水庫'],0
0,新北市/基隆新北,121.47,24.77,['新山水庫'],0
0,新北市/基隆新北,121.47,24.78,['新山水庫'],0
0,新北市/基隆新北,121.47,24.79,['新山水庫'],0
0,新北市/基隆新北,121.47,24.8,['新山水庫'],0
0,新北市/基隆新北,121.47,24.81,['新山水庫'],0
0,新北市/基隆新北,121.47,24.82,['新山水庫'],0
0,新北市/基隆新北,121.47,24.83,['新山水庫'],0
0,新北市/基隆新北,121.47,24.84,['新山水庫'],0
0,新北市/基隆新北,121.47,24.85,['新山水庫'],0
0,新北市/基隆新北,121.47,24.86,['新山水庫'],0
0,新北市/基隆新北,121.47,24.87,['新山水庫'],0
0,新北市/基隆新北,121.47,24.88,['新山水庫'],0
0,新北市/基隆新北,121.47,24.89,['新山水庫'],0
0,新北市/基隆新北,121.47,24.9,['新山水庫'],0
0,新北市/基隆新北,121.47,24.91,['新山水庫'],0
0,新北市/基隆新北,121.47,24.92,['新山水庫'],0
0,新北市/基隆新北,121.47,24.93,['新山水庫'],0
0,新北市/基隆新北,121.47,24.94,['新山水庫'],0
0,新北市/基隆新北,121.47,24.95,['新山水庫'],0
0,新北市/基隆新北,121.47,25.15,['新山水庫'],0
0,新北市/基隆新北,121.47,25.16,['新山水庫'],0
0,新北市/基隆新北,121.47,25.17,['新山水庫'],0
0,新北市/基隆新北,121.47,25.18,['新山水庫'],0
0,新北市/基隆新北,121.47,25.19,['新山水庫'],0
0,新北市/基隆新北,121.47,25.2,['新山水庫'],0
0,新北市/基隆新北,121.47,25.21,['新山水庫'],0
0,新北市/基隆新北,121.47,25.22,['新山水庫'],0
0,新北市/基隆新北,121.47,25.23,['新山水庫'],0
0,新北市/基隆新北,121.47,25.24,['新山水庫'],0
0,新北市/基隆新北,121.47,25.25,['新山水庫'],0
0,新北市/基隆新北,121.47,25.26,['新山水庫'],0
0,新北市/基隆新北,121.48,24.67,['新山水庫'],0
0,新北市/基隆新北,121.48,24.68,['新山水庫'],0
